254: 3.649034, 3.010180 avg, 0.000004 rate, 2.843895 seconds, 2032 images
255: 2.787824, 2.987944 avg, 0.000004 rate, 2.839260 seconds, 2040 images
256: 3.493814, 3.038531 avg, 0.000004 rate, 2.841710 seconds, 2048 images
257: 2.862070, 3.020885 avg, 0.000004 rate, 2.845393 seconds, 2056 images
258: 4.039311, 3.122728 avg, 0.000004 rate, 2.846910 seconds, 2064 images
259: 2.374934, 3.047948 avg, 0.000004 rate, 2.836602 seconds, 2072 images
260: 3.940651, 3.137218 avg, 0.000005 rate, 2.840780 seconds, 2080 images
261: 2.711492, 3.094646 avg, 0.000005 rate, 2.313126 seconds, 2088 images
262: 3.038733, 3.089055 avg, 0.000005 rate, 2.449156 seconds, 2096 images
263: 3.291733, 3.109322 avg, 0.000005 rate, 2.453254 seconds, 2104 images
264: 2.487689, 3.047159 avg, 0.000005 rate, 2.449395 seconds, 2112 images
265: 3.601576, 3.102601 avg, 0.000005 rate, 2.448725 seconds, 2120 images
266: 2.289295, 3.021270 avg, 0.000005 rate, 2.451500 seconds, 2128 images
267: 3.006961, 3.019839 avg, 0.000005 rate, 2.454724 seconds, 2136 images
268: 3.029914, 3.020847 avg, 0.000005 rate, 2.450014 seconds, 2144 images
269: 2.074855, 2.926247 avg, 0.000005 rate, 2.452380 seconds, 2152 images
270: 2.736047, 2.907227 avg, 0.000005 rate, 2.455229 seconds, 2160 images
271: 3.184971, 2.935002 avg, 0.000005 rate, 2.842030 seconds, 2168 images
272: 2.420688, 2.883570 avg, 0.000005 rate, 3.015867 seconds, 2176 images
273: 2.617088, 2.856922 avg, 0.000006 rate, 3.007278 seconds, 2184 images
274: 2.632348, 2.834465 avg, 0.000006 rate, 3.014642 seconds, 2192 images
275: 2.009923, 2.752010 avg, 0.000006 rate, 3.018952 seconds, 2200 images
276: 1.740934, 2.650903 avg, 0.000006 rate, 3.012652 seconds, 2208 images
277: 2.038045, 2.589617 avg, 0.000006 rate, 3.013825 seconds, 2216 images
278: 2.472695, 2.577925 avg, 0.000006 rate, 3.008961 seconds, 2224 images
279: 2.518308, 2.571963 avg, 0.000006 rate, 3.014595 seconds, 2232 images
280: 2.194985, 2.534265 avg, 0.000006 rate, 3.017997 seconds, 2240 images
281: 2.480212, 2.528860 avg, 0.000006 rate, 2.683308 seconds, 2248 images
282: 2.240855, 2.500060 avg, 0.000006 rate, 2.842079 seconds, 2256 images
283: 2.288232, 2.478877 avg, 0.000006 rate, 2.846697 seconds, 2264 images
284: 2.825911, 2.513580 avg, 0.000007 rate, 2.851341 seconds, 2272 images
285: 2.931581, 2.555380 avg, 0.000007 rate, 2.848776 seconds, 2280 images
286: 3.078268, 2.607669 avg, 0.000007 rate, 2.849590 seconds, 2288 images
287: 2.141400, 2.561042 avg, 0.000007 rate, 2.845397 seconds, 2296 images
288: 2.451477, 2.550086 avg, 0.000007 rate, 2.848202 seconds, 2304 images
289: 2.330907, 2.528168 avg, 0.000007 rate, 2.851969 seconds, 2312 images
290: 2.716354, 2.546987 avg, 0.000007 rate, 2.850493 seconds, 2320 images
291: 2.662858, 2.558574 avg, 0.000007 rate, 1.978324 seconds, 2328 images
292: 2.023052, 2.505022 avg, 0.000007 rate, 2.098396 seconds, 2336 images
293: 2.104774, 2.464997 avg, 0.000007 rate, 2.102362 seconds, 2344 images
294: 3.003733, 2.518870 avg, 0.000007 rate, 2.095835 seconds, 2352 images
295: 2.556576, 2.522641 avg, 0.000008 rate, 2.104213 seconds, 2360 images
296: 1.282546, 2.398631 avg, 0.000008 rate, 2.097390 seconds, 2368 images
297: 2.225224, 2.381290 avg, 0.000008 rate, 2.101422 seconds, 2376 images
298: 2.560369, 2.399198 avg, 0.000008 rate, 2.099024 seconds, 2384 images
299: 2.025876, 2.361866 avg, 0.000008 rate, 2.097181 seconds, 2392 images
300: 1.831446, 2.308824 avg, 0.000008 rate, 2.101504 seconds, 2400 images
301: 2.206393, 2.298581 avg, 0.000008 rate, 1.981965 seconds, 2408 images
302: 2.498010, 2.318524 avg, 0.000008 rate, 2.097322 seconds, 2416 images
303: 2.114855, 2.298157 avg, 0.000008 rate, 2.101879 seconds, 2424 images
304: 1.708026, 2.239144 avg, 0.000009 rate, 2.103542 seconds, 2432 images
305: 2.245918, 2.239821 avg, 0.000009 rate, 2.097480 seconds, 2440 images
306: 1.750143, 2.190854 avg, 0.000009 rate, 2.101594 seconds, 2448 images
307: 3.765501, 2.348318 avg, 0.000009 rate, 2.098896 seconds, 2456 images
308: 2.507784, 2.364265 avg, 0.000009 rate, 2.095594 seconds, 2464 images
309: 2.737191, 2.401558 avg, 0.000009 rate, 2.098448 seconds, 2472 images
310: 2.262343, 2.387636 avg, 0.000009 rate, 2.101113 seconds, 2480 images
311: 2.149118, 2.363784 avg, 0.000009 rate, 0.954785 seconds, 2488 images
312: 2.487281, 2.376134 avg, 0.000009 rate, 1.025883 seconds, 2496 images
313: 2.372411, 2.375762 avg, 0.000010 rate, 1.024232 seconds, 2504 images
314: 1.639013, 2.302087 avg, 0.000010 rate, 1.022533 seconds, 2512 images
315: 3.662534, 2.438132 avg, 0.000010 rate, 1.026672 seconds, 2520 images
316: 3.419358, 2.536254 avg, 0.000010 rate, 1.021983 seconds, 2528 images
317: 2.088974, 2.491526 avg, 0.000010 rate, 1.025872 seconds, 2536 images
318: 1.749919, 2.417365 avg, 0.000010 rate, 1.024768 seconds, 2544 images
319: 2.977798, 2.473408 avg, 0.000010 rate, 1.023168 seconds, 2552 images
320: 4.143680, 2.640436 avg, 0.000010 rate, 1.026936 seconds, 2560 images
321: 1.550381, 2.531430 avg, 0.000011 rate, 1.670803 seconds, 2568 images
322: 3.716803, 2.649967 avg, 0.000011 rate, 1.775470 seconds, 2576 images
323: 3.481680, 2.733139 avg, 0.000011 rate, 1.779569 seconds, 2584 images
324: 2.093316, 2.669156 avg, 0.000011 rate, 1.779714 seconds, 2592 images
325: 1.755449, 2.577785 avg, 0.000011 rate, 1.772526 seconds, 2600 images
326: 2.159852, 2.535992 avg, 0.000011 rate, 1.776121 seconds, 2608 images
327: 2.808716, 2.563265 avg, 0.000011 rate, 1.778101 seconds, 2616 images
328: 2.497518, 2.556690 avg, 0.000012 rate, 1.774653 seconds, 2624 images
329: 2.648508, 2.565872 avg, 0.000012 rate, 1.778098 seconds, 2632 images
330: 2.517764, 2.561061 avg, 0.000012 rate, 1.778601 seconds, 2640 images
331: 2.372737, 2.542228 avg, 0.000012 rate, 1.668089 seconds, 2648 images
332: 2.355509, 2.523556 avg, 0.000012 rate, 1.776444 seconds, 2656 images
