Region 82 Avg IOU: 0.024944, Class: 0.528664, Obj: 0.577174, No Obj: 0.616188, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.157279, Class: 0.433830, Obj: 0.630934, No Obj: 0.619154, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.150721, Class: 0.435900, Obj: 0.572520, No Obj: 0.615434, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.025458, Class: 0.760146, Obj: 0.503395, No Obj: 0.618737, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.081273, Class: 0.658460, Obj: 0.339389, No Obj: 0.615802, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.407343, Class: 0.328794, Obj: 0.131511, No Obj: 0.617063, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.396119, Class: 0.145561, Obj: 0.448928, No Obj: 0.618989, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.537171, Class: 0.375265, Obj: 0.855339, No Obj: 0.616997, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.031839, Class: 0.731983, Obj: 0.552073, No Obj: 0.615481, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.031170, Class: 0.708469, Obj: 0.384459, No Obj: 0.615872, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.116822, Class: 0.548906, Obj: 0.117757, No Obj: 0.618636, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.027983, Class: 0.861602, Obj: 0.589149, No Obj: 0.617543, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.187030, Class: 0.121430, Obj: 0.680824, No Obj: 0.614498, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.014331, Class: 0.373900, Obj: 0.648141, No Obj: 0.618382, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.237324, Class: 0.263063, Obj: 0.470008, No Obj: 0.618315, .5R: 0.000000, .75R: 0.000000,  count: 1
